local_time,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 06:00:00,0.0,0.012,23.489
2019-01-01 07:00:00,0.0,0.091,24.256
2019-01-01 08:00:00,0.094,0.155,25.19
2019-01-01 09:00:00,0.235,0.195,26.237
2019-01-01 10:00:00,0.304,0.255,27.13
2019-01-01 11:00:00,0.4,0.282,27.918000000000006
2019-01-01 12:00:00,0.53,0.27,28.621
2019-01-01 13:00:00,0.584,0.257,29.092
2019-01-01 14:00:00,0.585,0.236,29.291
2019-01-01 15:00:00,0.536,0.208,29.242
2019-01-01 16:00:00,0.383,0.199,28.948
2019-01-01 17:00:00,0.166,0.203,28.403
2019-01-01 18:00:00,0.03,0.155,27.642
2019-01-02 06:00:00,0.0,0.013,23.32
2019-01-02 07:00:00,0.0,0.08199999999999999,24.113000000000003
2019-01-02 08:00:00,0.127,0.124,25.299
2019-01-02 09:00:00,0.319,0.142,26.71
2019-01-02 10:00:00,0.517,0.14800000000000002,28.178
2019-01-02 11:00:00,0.7040000000000001,0.14300000000000002,29.626
2019-01-02 12:00:00,0.8009999999999999,0.147,30.81
2019-01-02 13:00:00,0.805,0.157,31.597
2019-01-02 14:00:00,0.7120000000000001,0.174,31.956
2019-01-02 15:00:00,0.5579999999999999,0.189,31.842
2019-01-02 16:00:00,0.361,0.2,31.348000000000006
2019-01-02 17:00:00,0.175,0.192,30.586
2019-01-02 18:00:00,0.045,0.147,29.69
2019-01-03 06:00:00,0.0,0.006999999999999999,26.33
2019-01-03 07:00:00,0.0,0.067,26.77
2019-01-03 08:00:00,0.006,0.14800000000000002,27.246
2019-01-03 09:00:00,0.008,0.19,27.417
2019-01-03 10:00:00,0.004,0.16899999999999998,27.136
2019-01-03 11:00:00,0.006,0.21,27.04
2019-01-03 12:00:00,0.017,0.313,27.273000000000003
2019-01-03 13:00:00,0.043,0.404,26.608
2019-01-03 14:00:00,0.04,0.385,25.219
2019-01-03 15:00:00,0.021,0.309,24.538
2019-01-03 16:00:00,0.01,0.227,24.039
2019-01-03 17:00:00,0.006,0.16399999999999998,23.426
2019-01-03 18:00:00,0.003,0.115,22.756
2019-01-04 06:00:00,0.0,0.009000000000000001,19.83
2019-01-04 07:00:00,0.0,0.08900000000000001,20.375
2019-01-04 08:00:00,0.12,0.132,21.055
2019-01-04 09:00:00,0.297,0.154,21.914
2019-01-04 10:00:00,0.472,0.17,23.064
2019-01-04 11:00:00,0.644,0.168,24.088
2019-01-04 12:00:00,0.77,0.161,24.879
2019-01-04 13:00:00,0.7809999999999999,0.168,25.245
2019-01-04 14:00:00,0.7190000000000001,0.17600000000000002,25.228
2019-01-04 15:00:00,0.4970000000000001,0.21600000000000005,24.865
2019-01-04 16:00:00,0.336,0.214,24.34
2019-01-04 17:00:00,0.183,0.19,23.655
2019-01-04 18:00:00,0.048,0.145,22.832
2019-01-05 06:00:00,0.0,0.011,19.338
2019-01-05 07:00:00,0.0,0.085,20.341
2019-01-05 08:00:00,0.128,0.125,21.312
2019-01-05 09:00:00,0.279,0.165,22.236
2019-01-05 10:00:00,0.407,0.201,23.096
