# Renewables.ninja Solar PV (Point API) - -29.889, -50.274 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Sao_Paulo, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-29.8890733", "lon": "-50.2740498", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 22:00,0,0,0,24.202
2019-01-01 01:00,2018-12-31 23:00,0,0,0,23.979
2019-01-01 02:00,2019-01-01 00:00,0,0,0,23.806
2019-01-01 03:00,2019-01-01 01:00,0,0,0,23.679
2019-01-01 04:00,2019-01-01 02:00,0,0,0,23.633
2019-01-01 05:00,2019-01-01 03:00,0,0,0,23.573
2019-01-01 06:00,2019-01-01 04:00,0,0,0,23.489
2019-01-01 07:00,2019-01-01 05:00,0,0,0,23.440
2019-01-01 08:00,2019-01-01 06:00,0.003,0,0.012,23.489
2019-01-01 09:00,2019-01-01 07:00,0.065,0,0.091,24.256
2019-01-01 10:00,2019-01-01 08:00,0.203,0.094,0.155,25.190
2019-01-01 11:00,2019-01-01 09:00,0.353,0.235,0.195,26.237
2019-01-01 12:00,2019-01-01 10:00,0.451,0.304,0.255,27.130
2019-01-01 13:00,2019-01-01 11:00,0.539,0.400,0.282,27.918
2019-01-01 14:00,2019-01-01 12:00,0.618,0.530,0.270,28.621
2019-01-01 15:00,2019-01-01 13:00,0.643,0.584,0.257,29.092
2019-01-01 16:00,2019-01-01 14:00,0.629,0.585,0.236,29.291
2019-01-01 17:00,2019-01-01 15:00,0.578,0.536,0.208,29.242
2019-01-01 18:00,2019-01-01 16:00,0.464,0.383,0.199,28.948
2019-01-01 19:00,2019-01-01 17:00,0.300,0.166,0.203,28.403
2019-01-01 20:00,2019-01-01 18:00,0.145,0.030,0.155,27.642
2019-01-01 21:00,2019-01-01 19:00,0.032,0,0.051,26.663
2019-01-01 22:00,2019-01-01 20:00,0,0,0.002,25.853
2019-01-01 23:00,2019-01-01 21:00,0,0,0,25.404
2019-01-02 00:00,2019-01-01 22:00,0,0,0,25.067
2019-01-02 01:00,2019-01-01 23:00,0,0,0,24.793
2019-01-02 02:00,2019-01-02 00:00,0,0,0,24.554
2019-01-02 03:00,2019-01-02 01:00,0,0,0,24.317
2019-01-02 04:00,2019-01-02 02:00,0,0,0,24.097
2019-01-02 05:00,2019-01-02 03:00,0,0,0,23.882
2019-01-02 06:00,2019-01-02 04:00,0,0,0,23.619
2019-01-02 07:00,2019-01-02 05:00,0,0,0,23.391
2019-01-02 08:00,2019-01-02 06:00,0.004,0,0.013,23.320
2019-01-02 09:00,2019-01-02 07:00,0.058,0,0.082,24.113
2019-01-02 10:00,2019-01-02 08:00,0.205,0.127,0.124,25.299
2019-01-02 11:00,2019-01-02 09:00,0.376,0.319,0.142,26.710
2019-01-02 12:00,2019-01-02 10:00,0.526,0.517,0.148,28.178
2019-01-02 13:00,2019-01-02 11:00,0.645,0.704,0.143,29.626
2019-01-02 14:00,2019-01-02 12:00,0.704,0.801,0.147,30.810
2019-01-02 15:00,2019-01-02 13:00,0.710,0.805,0.157,31.597
